Year,Persons Killed,Persons Injured
1978,1224,65749
1979,1162,60405
1980,1191,56131
1981,1056,56801
1982,908,53366
1983,921,56412
1984,991,64099
1985,948,66970
1986,1143,69455
1987,1058,67743
1988,1103,69321
1989,1052,68588
1990,1097,72493
1991,1011,67707
1992,985,70550
1993,949,77521
1994,1089,81046
1995,1109,81174
1996,1148,82717
1997,1192,81570
1998,1169,79765
1999,1094,78297
2000,1157,76338
2001,1098,73629
2002,1208,72640
2003,1232,69147
2004,1130,68654
2005,1257,66424
2006,1096,62120
2007,992,60012
2008,960,55159
2009,878,53836
2010,821,54893
2011,786,51062
2012,826,50381
2013,757,49532
2014,766,47977
